directors,popularity,stars,title,writers
"Katsuhiro Ôtomo,Katsuhiro Ôtomo,Izô Hashimoto,1 more credit,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,See full cast & crew",,,Akira ,
"Tomm Moore,Will Collins,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,See full cast & crew","4,630",,Sangen fra havet ,
"Andrei Tarkovsky,Aleksandr Misharin,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,See full cast & crew",,,The Mirror ,
"Gary Trousdale,Kirk Wise,Linda Woolverton,Brenda Chapman,9 more credits,Paige O'Hara,Robby Benson,Jesse Corti,See full cast & crew",530,,Beauty and the Beast ,
"William Friedkin,William Peter Blatty,William Peter Blatty,Ellen Burstyn,Max von Sydow,Linda Blair,See full cast & crew",828,,The Exorcist ,
"Gore Verbinski,Ted Elliott,Terry Rossio,4 more credits,Johnny Depp,Geoffrey Rush,Orlando Bloom,See full cast & crew",647,,Pirates of the Caribbean: The Curse of the Black Pearl ,
"Hayao Miyazaki,Hayao Miyazaki,Anna Paquin,James Van Der Beek,Cloris Leachman,See full cast & crew","4,183",,Castle in the Sky ,
"James Gunn,James Gunn,Nicole Perlman,9 more credits,Chris Pratt,Vin Diesel,Bradley Cooper,See full cast & crew",105,,Guardians of the Galaxy ,
"Wim Wenders,L.M. Kit Carson,Sam Shepard,1 more credit,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,See full cast & crew","2,743",,"Paris, Texas ",
"Richard Linklater,Richard Linklater,Julie Delpy,5 more credits,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,See full cast & crew","2,899",,Before Sunset ,
"Tate Taylor,Tate Taylor,Kathryn Stockett,Emma Stone,Viola Davis,Octavia Spencer,See full cast & crew",431,,The Help ,
"Harold Ramis,Danny Rubin,Harold Ramis,1 more credit,Bill Murray,Andie MacDowell,Chris Elliott,See full cast & crew","1,428",,Groundhog Day ,
"Victor Fleming,George Cukor,3 more credits,Noel Langley,Florence Ryerson,3 more credits,Judy Garland,Frank Morgan,Ray Bolger,See full cast & crew",633,,The Wizard of Oz ,
"Chan-wook Park,Sarah Waters,Seo-kyeong Jeong,1 more credit,Min-hee Kim,Jung-woo Ha,Jin-Woong Cho,See full cast & crew",895,,The Handmaiden ,
"Richard Kelly,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,See full cast & crew",651,,Donnie Darko ,
"Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,See full cast & crew",,,La Haine ,
"Peter Weir,Tom Schulman,Robin Williams,Robert Sean Leonard,Ethan Hawke,See full cast & crew","1,120",,Dead Poets Society ,
"John Huston,John Huston,Dashiell Hammett,Humphrey Bogart,Mary Astor,Gladys George,See full cast & crew","3,089",,The Maltese Falcon ,
"Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,See full cast & crew","2,548",,In the Mood for Love ,
"James Cameron,James Cameron,Gale Anne Hurd,1 more credit,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,See full cast & crew",497,,The Terminator ,
"Richard Attenborough,John Briley,Ben Kingsley,John Gielgud,Rohini Hattangadi,See full cast & crew","2,552",,Gandhi ,
"Stanley Kubrick,Stanley Kubrick,William Makepeace Thackeray,Ryan O'Neal,Marisa Berenson,Patrick Magee,See full cast & crew",,,Barry Lyndon ,
"George Roy Hill,William Goldman,Paul Newman,Robert Redford,Katharine Ross,See full cast & crew","2,048",,Butch Cassidy and the Sundance Kid ,
"John G. Avildsen,Sylvester Stallone,Sylvester Stallone,Talia Shire,Burt Young,See full cast & crew",470,,Rocky ,
"Hayao Miyazaki,Hayao Miyazaki,Hayao Miyazaki,2 more credits,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,See full cast & crew","3,455",,Nausicaä of the Valley of the Wind ,
"David Yates,Steve Kloves,J.K. Rowling,Daniel Radcliffe,Emma Watson,Rupert Grint,See full cast & crew",306,,Harry Potter and the Deathly Hallows: Part 2 ,
"Steven Spielberg,Jeff Nathanson,Frank Abagnale Jr.,1 more credit,Leonardo DiCaprio,Tom Hanks,Christopher Walken,See full cast & crew",743,,Catch Me If You Can ,
"Rob Reiner,William Goldman,William Goldman,Cary Elwes,Mandy Patinkin,Robin Wright,See full cast & crew",424,,The Princess Bride ,
"Lasse Hallström,Stephen P. Lindsey,Kaneto Shindô,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,See full cast & crew",,,Hachi: A Dog's Tale ,
"Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría,Gael García Bernal,Goya Toledo,See full cast & crew","3,377",,Amores Perros ,
"James Mangold,James Mangold,Scott Frank,2 more credits,Hugh Jackman,Patrick Stewart,Dafne Keen,See full cast & crew",276,,Logan ,
"Denis Villeneuve,Aaron Guzikowski,Hugh Jackman,Jake Gyllenhaal,Viola Davis,See full cast & crew",473,,Prisoners ,
"Ron Howard,Peter Morgan,Daniel Brühl,Chris Hemsworth,Olivia Wilde,See full cast & crew","1,390",,Rush ,
"Richard Linklater,Richard Linklater,Kim Krizan,Ethan Hawke,Julie Delpy,Andrea Eckert,See full cast & crew","2,064",,Before Sunrise ,
"George Miller,George Miller,Brendan McCarthy,1 more credit,Tom Hardy,Charlize Theron,Nicholas Hoult,See full cast & crew",187,,Mad Max: Fury Road ,
"Clint Eastwood,Paul Haggis,F.X. Toole,Hilary Swank,Clint Eastwood,Morgan Freeman,See full cast & crew","1,142",,Million Dollar Baby ,
