directors,popularity,stars,title,writers
"Sergio Leone,Harry Grey,Leonardo Benvenuti,6 more credits,Robert De Niro,James Woods,Elizabeth McGovern,See full cast & crew",,,Once Upon a Time in America ,
"James Cameron,James Cameron,David Giler,4 more credits,Sigourney Weaver,Michael Biehn,Carrie Henn,See full cast & crew",381,,Aliens ,
"Chan-wook Park,Garon Tsuchiya,Nobuaki Minegishi,4 more credits,Min-sik Choi,Ji-tae Yu,Hye-jeong Kang,See full cast & crew",744,,Oldboy ,
"Hayao Miyazaki,Hayao Miyazaki,Neil Gaiman,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,See full cast & crew","1,583",,Princess Mononoke ,
"Billy Wilder,Agatha Christie,Billy Wilder,2 more credits,Tyrone Power,Marlene Dietrich,Charles Laughton,See full cast & crew",,,Witness for the Prosecution ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,3 more credits,Christian Bale,Tom Hardy,Anne Hathaway,See full cast & crew",236,,The Dark Knight Rises ,
"Andrew Stanton,Andrew Stanton,Pete Docter,2 more credits,Ben Burtt,Elissa Knight,Jeff Garlin,See full cast & crew","1,232",,WALL·E ,
"Stanley Kubrick,Stephen King,Stanley Kubrick,1 more credit,Jack Nicholson,Shelley Duvall,Danny Lloyd,See full cast & crew",230,,The Shining ,
"Stanley Kubrick,Stanley Kubrick,Calder Willingham,2 more credits,Kirk Douglas,Ralph Meeker,Adolphe Menjou,See full cast & crew",,,Paths of Glory ,
"Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,See full cast & crew",902,,The Lives of Others ,
"Stanley Kubrick,Stanley Kubrick,Terry Southern,2 more credits,Peter Sellers,George C. Scott,Sterling Hayden,See full cast & crew","1,263",,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,
"Charles Chaplin,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,See full cast & crew",,,The Great Dictator ,
"Billy Wilder,Charles Brackett,Billy Wilder,1 more credit,William Holden,Gloria Swanson,Erich von Stroheim,See full cast & crew",,,Sunset Boulevard ,
"Giuseppe Tornatore,Giuseppe Tornatore,Giuseppe Tornatore,2 more credits,Philippe Noiret,Enzo Cannavale,Antonella Attili,See full cast & crew","2,438",,Cinema Paradiso ,
"Anthony Russo,Joe Russo,Christopher Markus,Stephen McFeely,14 more credits,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,See full cast & crew",25,,Avengers: Infinity War ,
"Isao Takahata,Akiyuki Nosaka,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,See full cast & crew",,,Grave of the Fireflies ,
"Christopher Nolan,Christopher Nolan,Jonathan Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,See full cast & crew",730,,Memento ,
"Francis Ford Coppola,John Milius,Francis Ford Coppola,1 more credit,Martin Sheen,Marlon Brando,Robert Duvall,See full cast & crew",321,,Apocalypse Now ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,1 more credit,Christian Bale,Hugh Jackman,Scarlett Johansson,See full cast & crew",366,,The Prestige ,
"Ridley Scott,Dan O'Bannon,Ronald Shusett,1 more credit,Sigourney Weaver,Tom Skerritt,John Hurt,See full cast & crew",157,,Alien ,
"Ridley Scott,David Franzoni,David Franzoni,2 more credits,Russell Crowe,Joaquin Phoenix,Connie Nielsen,See full cast & crew",342,,Gladiator ,
"Steven Spielberg,Lawrence Kasdan,George Lucas,1 more credit,Harrison Ford,Karen Allen,Paul Freeman,See full cast & crew",394,,Raiders of the Lost Ark ,
"Alfred Hitchcock,John Michael Hayes,Cornell Woolrich,James Stewart,Grace Kelly,Wendell Corey,See full cast & crew","1,204",,Rear Window ,
"Roger Allers,Rob Minkoff,Irene Mecchi,Jonathan Roberts,27 more credits,Matthew Broderick,Jeremy Irons,James Earl Jones,See full cast & crew",111,,The Lion King ,
"Martin Scorsese,William Monahan,Alan Mak,1 more credit,Leonardo DiCaprio,Matt Damon,Jack Nicholson,See full cast & crew",208,,The Departed ,
"Damien Chazelle,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,See full cast & crew",380,,Whiplash ,
"James Cameron,James Cameron,William Wisher,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,See full cast & crew",540,,Terminator 2: Judgment Day ,
"Robert Zemeckis,Robert Zemeckis,Bob Gale,Michael J. Fox,Christopher Lloyd,Lea Thompson,See full cast & crew",365,,Back to the Future ,
"Olivier Nakache,Éric Toledano,Olivier Nakache,Philippe Pozzo di Borgo,1 more credit,François Cluzet,Omar Sy,Anne Le Ny,See full cast & crew",502,,The Intouchables ,
"Roman Polanski,Ronald Harwood,Wladyslaw Szpilman,Adrien Brody,Thomas Kretschmann,Frank Finlay,See full cast & crew",708,,The Pianist ,
"Charles Chaplin,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,See full cast & crew","3,659",,Modern Times ,
"Charles Chaplin,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,See full cast & crew",,,City Lights ,
"Bob Persichetti,Peter Ramsey,1 more credit,Phil Lord,Rodney Rothman,1 more credit,Shameik Moore,Jake Johnson,Hailee Steinfeld,See full cast & crew",6,,Spider-Man: Into the Spider-Verse ,
"Tony Kaye,David McKenna,Edward Norton,Edward Furlong,Beverly D'Angelo,See full cast & crew",543,,American History X ,
"Alfred Hitchcock,Joseph Stefano,Robert Bloch,Anthony Perkins,Janet Leigh,Vera Miles,See full cast & crew",505,,Psycho ,
"Sergio Leone,Sergio Donati,Sergio Leone,3 more credits,Henry Fonda,Charles Bronson,Claudia Cardinale,See full cast & crew","1,108",,Once Upon a Time in the West ,
"Luc Besson,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,See full cast & crew",330,,Léon: The Professional ,
"Michael Curtiz,Julius J. Epstein,Philip G. Epstein,3 more credits,Humphrey Bogart,Ingrid Bergman,Paul Henreid,See full cast & crew",885,,Casablanca ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,See full cast & crew",130,,Interstellar ,
"Frank Darabont,Stephen King,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,See full cast & crew",223,,The Green Mile ,
"Bryan Singer,Christopher McQuarrie,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,See full cast & crew",511,,The Usual Suspects ,
"Roberto Benigni,Vincenzo Cerami,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,See full cast & crew",812,,Life Is Beautiful ,
"Steven Spielberg,Robert Rodat,Tom Hanks,Matt Damon,Tom Sizemore,See full cast & crew",371,,Saving Private Ryan ,
"Frank Capra,Frances Goodrich,Albert Hackett,3 more credits,James Stewart,Donna Reed,Lionel Barrymore,See full cast & crew","1,601",,It's a Wonderful Life ,
"Hayao Miyazaki,Kirk Wise,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,See full cast & crew",642,,Spirited Away ,
"Jonathan Demme,Thomas Harris,Ted Tally,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,See full cast & crew",214,,The Silence of the Lambs ,
"George Lucas,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew",412,,Star Wars: Episode IV - A New Hope ,
"David Fincher,Andrew Kevin Walker,Morgan Freeman,Brad Pitt,Kevin Spacey,See full cast & crew",215,,Se7en ,
"Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,1 more credit,Robert De Niro,Ray Liotta,Joe Pesci,See full cast & crew",142,,Goodfellas ,
"Akira Kurosawa,Akira Kurosawa,Shinobu Hashimoto,1 more credit,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,See full cast & crew","1,490",,Seven Samurai ,
"Lana Wachowski,Lilly Wachowski,Lilly Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,See full cast & crew",209,,The Matrix ,
"Fernando Meirelles,Kátia Lund,Paulo Lins,Bráulio Mantovani,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,See full cast & crew",783,,City of God ,
crew,directors,popularity,stars,title,writers
"Frank Darabont,Stephen King,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton",,117,,The Shawshank Redemption ,
"Sidney Lumet,Reginald Rose,Reginald Rose,Henry Fonda,Lee J. Cobb,Martin Balsam",,582,,12 Angry Men ,
"Sergio Leone,Luciano Vincenzoni,Sergio Leone,4 more credits,Clint Eastwood,Eli Wallach,Lee Van Cleef",,527,,"The Good, the Bad and the Ugly ",
"Francis Ford Coppola,Mario Puzo,Francis Ford Coppola,1 more credit,Marlon Brando,Al Pacino,James Caan",,123,,The Godfather ,
"Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,1 more credit,Al Pacino,Robert De Niro,Robert Duvall",,518,,The Godfather: Part II ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,3 more credits,Christian Bale,Heath Ledger,Aaron Eckhart",,139,,The Dark Knight ,
"Peter Jackson,J.R.R. Tolkien,Fran Walsh,2 more credits,Elijah Wood,Viggo Mortensen,Ian McKellen",,232,,The Lord of the Rings: The Return of the King ,
"Steven Spielberg,Thomas Keneally,Steven Zaillian,Liam Neeson,Ralph Fiennes,Ben Kingsley",,240,,Schindler's List ,
"Robert Zemeckis,Winston Groom,Eric Roth,Tom Hanks,Robin Wright,Gary Sinise",,261,,Forrest Gump ,
"Peter Jackson,J.R.R. Tolkien,Fran Walsh,2 more credits,Elijah Wood,Ian McKellen,Orlando Bloom",,159,,The Lord of the Rings: The Fellowship of the Ring ,
"Quentin Tarantino,Quentin Tarantino,Roger Avary,1 more credit,John Travolta,Uma Thurman,Samuel L. Jackson",,132,,Pulp Fiction ,
"Peter Jackson,J.R.R. Tolkien,Fran Walsh,3 more credits,Elijah Wood,Ian McKellen,Viggo Mortensen",,484,,The Lord of the Rings: The Two Towers ,
"Irvin Kershner,Leigh Brackett,Lawrence Kasdan,1 more credit,Mark Hamill,Harrison Ford,Carrie Fisher",,998,,Star Wars: Episode V - The Empire Strikes Back ,
"Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",,161,,Inception ,
"Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,1 more credit,Robert De Niro,Ray Liotta,Joe Pesci",,142,,Goodfellas ,
"David Fincher,Chuck Palahniuk,Jim Uhls,Brad Pitt,Edward Norton,Meat Loaf",,333,,Fight Club ,
"Wolfgang Petersen,Wolfgang Petersen,Lothar G. Buchheim,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",,"1,739",,Das Boot ,
"Mel Gibson,Randall Wallace,Mel Gibson,Sophie Marceau,Patrick McGoohan",,451,,Braveheart ,
"Billy Wilder,Agatha Christie,Billy Wilder,2 more credits,Tyrone Power,Marlene Dietrich,Charles Laughton",,,,Witness for the Prosecution ,
"Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,1 more credit,Harvey Keitel,Tim Roth,Michael Madsen",,680,,Reservoir Dogs ,
"Makoto Shinkai,Makoto Shinkai,Makoto Shinkai,1 more credit,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",,736,,Your Name. ,
"Alfred Hitchcock,Alec Coppel,Samuel A. Taylor,2 more credits,James Stewart,Kim Novak,Barbara Bel Geddes",,"1,665",,Vertigo ,
"David Lean,T.E. Lawrence,Robert Bolt,1 more credit,Peter O'Toole,Alec Guinness,Anthony Quinn",,"1,622",,Lawrence of Arabia ,
"Nitesh Tiwari,Piyush Gupta,Shreyas Jain,3 more credits,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",,,,Dangal ,
"Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders",,"3,259",,All About Eve ,
"Gus Van Sant,Matt Damon,Ben Affleck,Robin Williams,Matt Damon,Ben Affleck",,405,,Good Will Hunting ,
"Guillermo del Toro,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López",,384,,Pan's Labyrinth ,
"Pete Docter,Ronnie Del Carmen,Pete Docter,Ronnie Del Carmen,7 more credits,Amy Poehler,Bill Hader,Lewis Black",,737,,Inside Out ,
"John McTiernan,Roderick Thorp,Jeb Stuart,1 more credit,Bruce Willis,Alan Rickman,Bonnie Bedelia",,474,,Die Hard ,
"M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette",,801,,The Sixth Sense ,
"Victor Fleming,George Cukor,1 more credit,Margaret Mitchell,Sidney Howard,Clark Gable,Vivien Leigh,Thomas Mitchell",,369,,Gone with the Wind ,
"Martin McDonagh,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell",,196,,"Three Billboards Outside Ebbing, Missouri ",
"Sean Penn,Sean Penn,Jon Krakauer,Emile Hirsch,Vince Vaughn,Catherine Keener",,875,,Into the Wild ,
"Peter Weir,Andrew Niccol,Jim Carrey,Ed Harris,Laura Linney",,653,,The Truman Show ,
"William Wyler,Lew Wallace,Karl Tunberg,Charlton Heston,Jack Hawkins,Stephen Boyd",,"2,024",,Ben-Hur ,
"Terry George,Keir Pearson,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix",,"2,547",,Hotel Rwanda ,
"Denis Villeneuve,Aaron Guzikowski,Hugh Jackman,Jake Gyllenhaal,Viola Davis",,473,,Prisoners ,
"Stanley Kubrick,Stanley Kubrick,William Makepeace Thackeray,Ryan O'Neal,Marisa Berenson,Patrick Magee",,,,Barry Lyndon ,
"Katsuhiro Ôtomo,Katsuhiro Ôtomo,Izô Hashimoto,1 more credit,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama",,,,Akira ,
"Ingmar Bergman,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson",,"4,978",,Fanny and Alexander ,
"Steven Spielberg,Peter Benchley,Carl Gottlieb,1 more credit,Roy Scheider,Robert Shaw,Richard Dreyfuss",,513,,Jaws ,
"Tomm Moore,Will Collins,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan",,"4,630",,Sangen fra havet ,
"Andrei Tarkovsky,Aleksandr Misharin,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev",,,,The Mirror ,
"William Friedkin,William Peter Blatty,William Peter Blatty,Ellen Burstyn,Max von Sydow,Linda Blair",,828,,The Exorcist ,
"Gore Verbinski,Ted Elliott,Terry Rossio,4 more credits,Johnny Depp,Geoffrey Rush,Orlando Bloom",,647,,Pirates of the Caribbean: The Curse of the Black Pearl ,
"Hayao Miyazaki,Hayao Miyazaki,Anna Paquin,James Van Der Beek,Cloris Leachman",,"4,183",,Castle in the Sky ,
"James Gunn,James Gunn,Nicole Perlman,9 more credits,Chris Pratt,Vin Diesel,Bradley Cooper",,105,,Guardians of the Galaxy ,
"Gary Trousdale,Kirk Wise,Linda Woolverton,Brenda Chapman,9 more credits,Paige O'Hara,Robby Benson,Jesse Corti",,530,,Beauty and the Beast ,
"Wim Wenders,L.M. Kit Carson,Sam Shepard,1 more credit,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell",,"2,743",,"Paris, Texas ",
"Victor Fleming,George Cukor,3 more credits,Noel Langley,Florence Ryerson,3 more credits,Judy Garland,Frank Morgan,Ray Bolger",,633,,The Wizard of Oz ,
"Tate Taylor,Tate Taylor,Kathryn Stockett,Emma Stone,Viola Davis,Octavia Spencer",,431,,The Help ,
"Richard Linklater,Richard Linklater,Julie Delpy,5 more credits,Ethan Hawke,Julie Delpy,Vernon Dobtcheff",,"2,899",,Before Sunset ,
"Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",,,,La Haine ,
"Chan-wook Park,Sarah Waters,Seo-kyeong Jeong,1 more credit,Min-hee Kim,Jung-woo Ha,Jin-Woong Cho",,895,,The Handmaiden ,
"Richard Kelly,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell",,651,,Donnie Darko ,
"Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu",,"2,548",,In the Mood for Love ,
"Richard Attenborough,John Briley,Ben Kingsley,John Gielgud,Rohini Hattangadi",,"2,552",,Gandhi ,
"Harold Ramis,Danny Rubin,Harold Ramis,1 more credit,Bill Murray,Andie MacDowell,Chris Elliott",,"1,428",,Groundhog Day ,
"James Cameron,James Cameron,Gale Anne Hurd,1 more credit,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",,497,,The Terminator ,
"Peter Weir,Tom Schulman,Robin Williams,Robert Sean Leonard,Ethan Hawke",,"1,120",,Dead Poets Society ,
"John Huston,John Huston,Dashiell Hammett,Humphrey Bogart,Mary Astor,Gladys George",,"3,089",,The Maltese Falcon ,
"Pete Docter,David Silverman,1 more credit,Pete Docter,Jill Culton,10 more credits,Billy Crystal,John Goodman,Mary Gibbs",,"1,047",,"Monsters, Inc. ",
"George Roy Hill,William Goldman,Paul Newman,Robert Redford,Katharine Ross",,"2,048",,Butch Cassidy and the Sundance Kid ,
"John G. Avildsen,Sylvester Stallone,Sylvester Stallone,Talia Shire,Burt Young",,470,,Rocky ,
"Hayao Miyazaki,Hayao Miyazaki,Hayao Miyazaki,2 more credits,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda",,"3,455",,Nausicaä of the Valley of the Wind ,
"David Yates,Steve Kloves,J.K. Rowling,Daniel Radcliffe,Emma Watson,Rupert Grint",,306,,Harry Potter and the Deathly Hallows: Part 2 ,
"Steven Spielberg,Jeff Nathanson,Frank Abagnale Jr.,1 more credit,Leonardo DiCaprio,Tom Hanks,Christopher Walken",,743,,Catch Me If You Can ,
"Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría,Gael García Bernal,Goya Toledo",,"3,377",,Amores Perros ,
"Rob Reiner,William Goldman,William Goldman,Cary Elwes,Mandy Patinkin,Robin Wright",,424,,The Princess Bride ,
"James Mangold,James Mangold,Scott Frank,2 more credits,Hugh Jackman,Patrick Stewart,Dafne Keen",,276,,Logan ,
"Tom McCarthy,Josh Singer,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams",,486,,Spotlight ,
"Lasse Hallström,Stephen P. Lindsey,Kaneto Shindô,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",,,,Hachi: A Dog's Tale ,
"George Miller,George Miller,Brendan McCarthy,1 more credit,Tom Hardy,Charlize Theron,Nicholas Hoult",,187,,Mad Max: Fury Road ,
"Ron Howard,Peter Morgan,Daniel Brühl,Chris Hemsworth,Olivia Wilde",,"1,390",,Rush ,
"Andrei Tarkovsky,Andrey Konchalovskiy,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",,,,Andrei Rublev ,
"Ingmar Bergman,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook",,,,Persona ,
"Clint Eastwood,Paul Haggis,F.X. Toole,Hilary Swank,Clint Eastwood,Morgan Freeman",,"1,142",,Million Dollar Baby ,
"Steve McQueen,John Ridley,Solomon Northup,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",,385,,12 Years a Slave ,
"Richard Linklater,Richard Linklater,Kim Krizan,Ethan Hawke,Julie Delpy,Andrea Eckert",,"2,064",,Before Sunrise ,
"Sidney Lumet,Paddy Chayefsky,Faye Dunaway,William Holden,Peter Finch",,"1,927",,Network ,
"Joon-ho Bong,Joon-ho Bong,Kwang-rim Kim,1 more credit,Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",,"3,218",,Memories of Murder ,
"Terry Jones,Graham Chapman,John Cleese,4 more credits,Graham Chapman,John Cleese,Michael Palin",,"1,702",,Life of Brian ,
"Frank Capra,Robert Riskin,Samuel Hopkins Adams,Clark Gable,Claudette Colbert,Walter Connolly",,"3,692",,It Happened One Night ,
"Rob Reiner,Stephen King,Raynold Gideon,1 more credit,Wil Wheaton,River Phoenix,Corey Feldman",,751,,Stand by Me ,
"Oliver Stone,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe",,738,,Platoon ,
"Jim Sheridan,Gerry Conlon,Terry George,1 more credit,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",,"2,756",,In the Name of the Father ,
"Wes Anderson,Stefan Zweig,Wes Anderson,2 more credits,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",,402,,The Grand Budapest Hotel ,
"Andrei Tarkovsky,Arkadiy Strugatskiy,Boris Strugatskiy,2 more credits,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",,,,Stalker ,
"Damián Szifron,Germán Servidio,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa",,"1,494",,Wild Tales ,
"Hideaki Anno,Kazuya Tsurumaki,Hideaki Anno,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura",,,,Neon Genesis Evangelion: The End of Evangelion ,
"Steven Spielberg,Michael Crichton,Michael Crichton,1 more credit,Sam Neill,Laura Dern,Jeff Goldblum",,108,,Jurassic Park ,
"Adam Elliot,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana",,,,Mary & Max ,
"Dean DeBlois,Chris Sanders,William Davies,Dean DeBlois,2 more credits,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",,185,,How to Train Your Dragon ,
"David Fincher,Gillian Flynn,Gillian Flynn,Ben Affleck,Rosamund Pike,Neil Patrick Harris",,226,,Gone Girl ,
"Mel Gibson,Robert Schenkkan,Andrew Knight,Andrew Garfield,Sam Worthington,Luke Bracey",,247,,Hacksaw Ridge ,
"Alfred Hitchcock,Daphne Du Maurier,Robert E. Sherwood,3 more credits,Laurence Olivier,Joan Fontaine,George Sanders",,,,Rebecca ,
"Stuart Rosenberg,Donn Pearce,Frank Pierson,1 more credit,Paul Newman,George Kennedy,Strother Martin",,"1,236",,Cool Hand Luke ,
"Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,1 more credit,Uma Thurman,David Carradine,Daryl Hannah",,555,,Kill Bill: Vol. 1 ,
"Joel Coen,Ethan Coen,Ethan Coen,Joel Coen,Jeff Bridges,John Goodman,Julianne Moore",,313,,The Big Lebowski ,
"Martin Scorsese,Laeta Kalogridis,Dennis Lehane,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",,538,,Shutter Island ,
"Andrew Stanton,Lee Unkrich,Andrew Stanton,Andrew Stanton,2 more credits,Albert Brooks,Ellen DeGeneres,Alexander Gould",,"1,026",,Finding Nemo ,
"Michael Cimino,Michael Cimino,Deric Washburn,3 more credits,Robert De Niro,Christopher Walken,John Cazale",,"1,036",,The Deer Hunter ,
"Clint Eastwood,Nick Schenk,Dave Johannson,1 more credit,Clint Eastwood,Bee Vang,Christopher Carley",,977,,Gran Torino ,
"Elem Klimov,Ales Adamovich,Ales Adamovich,1 more credit,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",,,,Come and See ,
"Joel Coen,Ethan Coen,Ethan Coen,Joel Coen,William H. Macy,Frances McDormand,Steve Buscemi",,539,,Fargo ,
"John Carpenter,Bill Lancaster,John W. Campbell Jr.,Kurt Russell,Wilford Brimley,Keith David",,"1,011",,The Thing ,
"Danny Boyle,Irvine Welsh,John Hodge,Ewan McGregor,Ewen Bremner,Jonny Lee Miller",,817,,Trainspotting ,
"Paul Thomas Anderson,Paul Thomas Anderson,Upton Sinclair,Daniel Day-Lewis,Paul Dano,Ciarán Hinds",,739,,There Will Be Blood ,
"Alfred Hitchcock,Frederick Knott,Frederick Knott,Ray Milland,Grace Kelly,Robert Cummings",,"4,716",,Dial M for Murder ,
"Ethan Coen,Joel Coen,Joel Coen,Ethan Coen,1 more credit,Tommy Lee Jones,Javier Bardem,Josh Brolin",,271,,No Country for Old Men ,
"James McTeigue,Lilly Wachowski,Lana Wachowski,1 more credit,Hugo Weaving,Natalie Portman,Rupert Graves",,792,,V for Vendetta ,
"Gavin O'Connor,Gavin O'Connor,Anthony Tambakis,3 more credits,Tom Hardy,Nick Nolte,Joel Edgerton",,951,,Warrior ,
"Martin Scorsese,Terence Winter,Jordan Belfort,Leonardo DiCaprio,Jonah Hill,Margot Robbie",,174,,The Wolf of Wall Street ,
"David Lynch,Christopher De Vore,Eric Bergren,3 more credits,Anthony Hopkins,John Hurt,Anne Bancroft",,"2,259",,The Elephant Man ,
"Lenny Abrahamson,Emma Donoghue,Emma Donoghue,Brie Larson,Jacob Tremblay,Sean Bridgers",,70,,Room ,
"Ridley Scott,Hampton Fancher,David Webb Peoples,1 more credit,Harrison Ford,Rutger Hauer,Sean Young",,"427
        ",,Blade Runner ,
"Elia Kazan,Budd Schulberg,Budd Schulberg,1 more credit,Marlon Brando,Karl Malden,Lee J. Cobb",,"3,165",,On the Waterfront ,
"Ingmar Bergman,Ingmar Bergman,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",,,,The Seventh Seal ,
"Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,1 more credit,Robert De Niro,Sharon Stone,Joe Pesci",,972,,Casino ,
"Guy Ritchie,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran",,"1,119",,"Lock, Stock and Two Smoking Barrels ",
"Ron Howard,Akiva Goldsman,Sylvia Nasar,Russell Crowe,Ed Harris,Jennifer Connelly",,761,,A Beautiful Mind ,
"Sriram Raghavan,Arijit Biswas,Yogesh Chandekar,4 more credits,Ayushmann Khurrana,Tabu,Radhika Apte",,,,Andhadhun ,
"Stanley Kramer,Abby Mann,Abby Mann,Spencer Tracy,Burt Lancaster,Richard Widmark",,"4,972",,Judgment at Nuremberg ,
"Juan José Campanella,Eduardo Sacheri,Juan José Campanella,1 more credit,Ricardo Darín,Soledad Villamil,Pablo Rago",,"1,835",,The Secret in Their Eyes ,
"David Lean,Pierre Boulle,Carl Foreman,1 more credit,William Holden,Alec Guinness,Jack Hawkins",,"2,892",,The Bridge on the River Kwai ,
"Carol Reed,Graham Greene,Graham Greene,Orson Welles,Joseph Cotten,Alida Valli",,"3,162",,The Third Man ,
"Hayao Miyazaki,Hayao Miyazaki,Diana Wynne Jones,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",,"1,661",,Howl's Moving Castle ,
"Akira Kurosawa,Akira Kurosawa,Hideo Oguni,2 more credits,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",,"3,521",,Ran ,
"Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",,"2,602",,My Neighbor Totoro ,
"Majid Majidi,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",,,,Children of Heaven ,
"John Sturges,Paul Brickhill,James Clavell,1 more credit,Steve McQueen,James Garner,Richard Attenborough",,"2,073",,The Great Escape ,
"Peter Farrelly,Nick Vallelonga,Brian Hayes Currie,1 more credit,Viggo Mortensen,Mahershala Ali,Linda Cardellini",,3,,Green Book ,
"Martin Scorsese,Jake LaMotta,Joseph Carter,3 more credits,Robert De Niro,Cathy Moriarty,Joe Pesci",,"1,533",,Raging Bull ,
"Roman Polanski,Robert Towne,Jack Nicholson,Faye Dunaway,John Huston",,"1,609",,Chinatown ,
"Denis Villeneuve,Denis Villeneuve,Wajdi Mouawad,2 more credits,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",,"1,351",,Incendies ,
"John Huston,John Huston,B. Traven,Humphrey Bogart,Walter Huston,Tim Holt",,"4,455",,The Treasure of the Sierra Madre ,
"Clint Eastwood,David Webb Peoples,Clint Eastwood,Gene Hackman,Morgan Freeman",,920,,Unforgiven ,
