directors,popularity,stars,title,writers
,680,,Reservoir Dogs ,
,"1,027",,Star Wars: Episode VI - Return of the Jedi ,
,"1,665",,Vertigo ,
,451,,Braveheart ,
,904,,Citizen Kane ,
,"1,739",,Das Boot ,
,,,Once Upon a Time in America ,
,277,,American Beauty ,
,381,,Aliens ,
,"1,583",,Princess Mononoke ,
,"1,232",,WALL·E ,
,268,,Django Unchained ,
,376,,Coco ,
,230,,The Shining ,
,,,Paths of Glory ,
,,,The Great Dictator ,
,730,,Memento ,
,"2,438",,Cinema Paradiso ,
,"1,263",,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,
,25,,Avengers: Infinity War ,
,366,,The Prestige ,
,321,,Apocalypse Now ,
,342,,Gladiator ,
,157,,Alien ,
,"1,204",,Rear Window ,
,111,,The Lion King ,
,394,,Raiders of the Lost Ark ,
,365,,Back to the Future ,
,502,,The Intouchables ,
,208,,The Departed ,
,"3,659",,Modern Times ,
,708,,The Pianist ,
,380,,Whiplash ,
,"1,108",,Once Upon a Time in the West ,
,885,,Casablanca ,
,6,,Spider-Man: Into the Spider-Verse ,
,505,,Psycho ,
,223,,The Green Mile ,
,130,,Interstellar ,
,330,,Léon: The Professional ,
,,,City Lights ,
,543,,American History X ,
,511,,The Usual Suspects ,
,371,,Saving Private Ryan ,
,"1,601",,It's a Wonderful Life ,
,642,,Spirited Away ,
,812,,Life Is Beautiful ,
,783,,City of God ,
,214,,The Silence of the Lambs ,
,215,,Se7en ,
,412,,Star Wars: Episode IV - A New Hope ,
,"1,490",,Seven Samurai ,
,209,,The Matrix ,
,142,,Goodfellas ,
directors,popularity,stars,title,writers
,117,,The Shawshank Redemption ,
,582,,12 Angry Men ,
,123,,The Godfather ,
,527,,"The Good, the Bad and the Ugly ",
,232,,The Lord of the Rings: The Return of the King ,
,139,,The Dark Knight ,
,240,,Schindler's List ,
,518,,The Godfather: Part II ,
,132,,Pulp Fiction ,
,159,,The Lord of the Rings: The Fellowship of the Ring ,
,261,,Forrest Gump ,
,333,,Fight Club ,
,998,,Star Wars: Episode V - The Empire Strikes Back ,
,142,,Goodfellas ,
,161,,Inception ,
,484,,The Lord of the Rings: The Two Towers ,
,236,,The Dark Knight Rises ,
,,,Witness for the Prosecution ,
,157,,Alien ,
,277,,American Beauty ,
,376,,Coco ,
,680,,Reservoir Dogs ,
,381,,Aliens ,
,474,,Die Hard ,
,"1,492",,3 Idiots ,
,"4,972",,Judgment at Nuremberg ,
,"1,119",,"Lock, Stock and Two Smoking Barrels ",
,"1,661",,Howl's Moving Castle ,
,196,,"Three Billboards Outside Ebbing, Missouri ",
,"3,165",,On the Waterfront ,
,"2,756",,In the Name of the Father ,
,174,,The Wolf of Wall Street ,
,538,,Shutter Island ,
,,,Stalker ,
,"1,120",,Dead Poets Society ,
,385,,12 Years a Slave ,
,431,,The Help ,
,828,,The Exorcist ,
,497,,The Terminator ,
,,,La Haine ,
,647,,Pirates of the Caribbean: The Curse of the Black Pearl ,
,,,The Mirror ,
,"4,630",,Sangen fra havet ,
,"3,403",,Gangs of Wasseypur ,
,530,,Beauty and the Beast ,
,,,Akira ,
,"4,183",,Castle in the Sky ,
,"2,899",,Before Sunset ,
,"2,743",,"Paris, Texas ",
